week_start,groupe,campagne,ACTE(VGP),DOSES(J07E1),actes_7day_ma,age_class,1er jour de la semaine,Semaine,Classe d'âge,Taux de passages aux urgences pour grippe,Taux d'hospitalisations après passages aux urgences pour grippe,Taux d'actes médicaux SOS médecins pour grippe,date,year,week,severity_index,emergency_4week_ma,is_peak
,,,,,,,2020-08-03,2020-S32,05-14 ans,26.980150318,0.0,76.045627376,2020-08-03,2020,32,10.792060127200001,36.90389999375,False
,,,,,,,2020-08-03,2020-S32,15-64 ans,49.810135484,38.778060235,275.12681627,2020-08-03,2020,32,43.1908903346,50.621625271750005,False
,,,,,,,2020-08-03,2020-S32,65 ans ou plus,15.431882269,14.059753954,40.303079155,2020-08-03,2020,32,14.608605279999999,13.285198459299998,False
,,,,,,,2020-08-03,2020-S32,Tous âges,38.777113953,24.842516192,197.23530512,2020-08-03,2020,32,30.4163552964,40.15158532225,False
,,,,,,,2020-08-10,2020-S33,00-04 ans,51.158946913,39.123630673,248.63252113,2020-08-10,2020,33,43.937757169,44.31660631525,False
,,,,,,,2020-08-10,2020-S33,05-14 ans,35.73215179,0.0,173.55632692,2020-08-10,2020,33,14.292860716000002,33.03705496875,False
,,,,,,,2020-08-10,2020-S33,15-64 ans,48.482822035,8.2822594004,242.65151933,2020-08-10,2020,33,24.36248445424,48.05296006725,False
,,,,,,,2020-08-10,2020-S33,65 ans ou plus,15.000477288,13.508037282,32.182798294,2020-08-10,2020,33,14.1050132844,13.402969540800001,False
,,,,,,,2020-08-10,2020-S33,Tous âges,39.51923705,11.910230888,191.60820992,2020-08-10,2020,33,22.9538333528,38.07759771725,False
,,,,,,,2020-08-17,2020-S34,00-04 ans,41.999160017,0.0,108.85341074,2020-08-17,2020,34,16.7996640068,43.3923351695,False
,,,,,,,2020-08-17,2020-S34,05-14 ans,25.932649205,0.0,56.137724551,2020-08-17,2020,34,10.373059682000001,31.400990942000004,False
,,,,,,,2020-08-17,2020-S34,15-64 ans,63.002866919,16.956337431,262.747352,2020-08-17,2020,34,35.3749492262,51.06060639075,False
,,,,,,,2020-08-17,2020-S34,65 ans ou plus,11.448196909,14.116816658,50.938110196,2020-08-17,2020,34,13.0493687584,12.6329871548,False
,,,,,,,2020-08-17,2020-S34,Tous âges,45.624321168,14.052344985,185.99507364,2020-08-17,2020,34,26.6811354582,39.442690182,False
,,,,,,,2020-08-24,2020-S35,00-04 ans,36.215482119,0.0,105.37407798,2020-08-24,2020,35,14.486192847600002,42.968131644,False
,,,,,,,2020-08-24,2020-S35,05-14 ans,59.302601407,163.13213703,110.11194715,2020-08-24,2020,35,121.6003227808,36.98688818,True
,,,,,,,2020-08-24,2020-S35,15-64 ans,71.623672231,34.675566729,241.87785168,2020-08-24,2020,35,49.4548089298,58.22987416725,False
,,,,,,,2020-08-24,2020-S35,65 ans ou plus,11.962437945,10.67121972,37.534015201,2020-08-24,2020,35,11.18770701,13.460748602750002,False
,,,,,,,2020-08-24,2020-S35,Tous âges,53.400998491,26.752273943,177.39872068,2020-08-24,2020,35,37.411763762199996,44.3304176655,False
,,,,,,,2020-08-31,2020-S36,00-04 ans,92.588865183,38.343558282,102.74324463,2020-08-31,2020,36,60.0416810424,55.490613558,True
,,,,,,,2020-08-31,2020-S36,05-14 ans,66.357000664,122.05044752,203.12301638,2020-08-31,2020,36,99.7730687776,46.8311007665,False
,,,,,,,2020-08-31,2020-S36,15-64 ans,93.934258713,21.827389008,365.94494192,2020-08-31,2020,36,50.67013689000001,69.26090497450001,False
,,,,,,,2020-08-31,2020-S36,65 ans ou plus,16.610292341,10.463534582,70.649979814,2020-08-31,2020,36,12.922237685599999,13.755351120750001,False
,,,,,,,2020-08-31,2020-S36,Tous âges,72.493823598,21.183822621,260.21783505,2020-08-31,2020,36,41.7078230118,52.75959507675,False
,,,,,,,2020-09-07,2020-S37,00-04 ans,59.436293678,108.22510823,136.01546281,2020-09-07,2020,37,88.7095824092,57.55995024925,False
,,,,,,,2020-09-07,2020-S37,05-14 ans,144.13958781,66.533599468,357.47385145,2020-09-07,2020,37,97.5759948048,73.93295977150001,True
,,,,,,,2020-09-07,2020-S37,15-64 ans,124.38695003,8.4413117799,528.45217125,2020-09-07,2020,37,54.81956707994,88.23693697325,False
